Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
"C1","22uF 16V","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",117.043200,-94.996000,270.000000,bottom
"C2","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",93.980000,-88.798400,180.000000,bottom
"C3","22uF 10V","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",107.188000,-91.324100,270.000000,bottom
"C5","100n 50V","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",95.808800,-78.536800,90.000000,bottom
"C6","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",92.405200,-76.200000,180.000000,bottom
"C7","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",93.827600,-96.875600,180.000000,bottom
"C8","0.1uF 50V","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",108.153200,-86.309200,270.000000,bottom
"D2","SS14","D_SMA",117.297200,-86.156800,90.000000,bottom
"F1","1A","Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder",122.783600,-94.945200,270.000000,bottom
"Q1","SS8050-G","SOT-23",109.220000,-82.245200,0.000000,bottom
"Q2","SS8050-G","SOT-23",112.217200,-86.258400,90.000000,bottom
"R1","10K","R_0603_1608Metric",111.861600,-81.889600,270.000000,bottom
"R2","10K","R_0603_1608Metric",109.677200,-86.258400,90.000000,bottom
"R3","10K","R_0603_1608Metric",101.777900,-84.226400,0.000000,bottom
"R4","10K","R_0603_1608Metric",98.450400,-81.788000,0.000000,bottom
"R5","10K","R_0603_1608Metric",106.629200,-86.207600,90.000000,bottom
"R6","10K","R_0603_1608Metric",98.806000,-83.261200,180.000000,bottom
"R7","10K","R_0603_1608Metric",125.222000,-93.421200,180.000000,bottom
"R8","10K","R_0603_1608Metric",101.650800,-88.188800,180.000000,bottom
"R9","1K","R_0603_1608Metric",93.853100,-95.377000,180.000000,bottom
"R10","1K","R_0603_1608Metric",94.335600,-78.536800,270.000000,bottom
"R11","10K","R_0603_1608Metric",93.878400,-93.878400,0.000000,bottom
"R12","10K","R_0603_1608Metric",92.100400,-80.213200,180.000000,bottom
"R13","1K","R_0603_1608Metric",94.030800,-90.322400,180.000000,bottom
"R14","470R","R_0603_1608Metric",114.808000,-85.293200,90.000000,bottom
"R15","0R","R_0603_1608Metric",114.808000,-81.889600,90.000000,bottom
"R16","33K (omit by default)","R_0603_1608Metric",113.334800,-81.889600,270.000000,bottom
"R17","470R","R_0603_1608Metric",106.578400,-81.838800,90.000000,bottom
"SW1","SW1_RST","SW_SPST_EVQP0",125.069600,-88.188800,270.000000,bottom
"U1","AMS1117-3.3","SOT-223-3_TabPin2",111.912400,-93.154500,90.000000,bottom
"U3","Si7021-A20","DFN-6-1EP_3x3mm_P1mm_EP1.5x2.4mm-HS",98.298000,-78.333600,90.000000,bottom
